regime,sub_regime,score,threshold,predicted,target,Date,speed_rpm,Current,temp_mot,Anomaly_Details
1,1,0.011357313498076949,-0.0322828780914846,0,0,2020-12-02 17:39:17.227,9856.968877,2.589607,53.892969,
1,1,-0.014783006884747096,-0.0322828780914846,0,0,2020-12-02 17:39:21.621,9827.994432,3.028818,54.334696,
1,1,0.00253253853996277,-0.0322828780914846,0,0,2020-12-02 17:39:26.027,9825.880477,2.443203,54.836413,
1,1,-0.018196934864876058,-0.0322828780914846,0,0,2020-12-02 17:39:30.482,9749.9209,2.993808,55.382033,
1,1,-0.0045054322370866595,-0.0322828780914846,0,0,2020-12-02 17:39:34.822,9809.478289,2.802847,55.843045,
1,1,0.0014297969767474994,-0.0322828780914846,0,0,2020-12-02 17:39:39.308,9760.017103,2.42729,56.326376,
1,1,-0.00732437994113444,-0.0322828780914846,0,0,2020-12-02 17:39:43.627,9740.65882,2.831491,56.768849,
1,1,-0.011206124351569535,-0.0322828780914846,0,0,2020-12-02 17:39:48.021,9691.505949,2.054915,57.144022,
1,1,0.010544930111086925,-0.0322828780914846,0,0,2020-12-02 17:39:52.432,9691.914525,2.675539,57.525751,
1,1,0.011649726781816694,-0.0322828780914846,0,0,2020-12-02 17:39:56.823,9738.35447,2.627799,57.956778,
1,1,0.008668633067111686,-0.0322828780914846,0,0,2020-12-02 17:40:01.227,9700.38584,2.490943,58.320706,
1,1,0.006256126139872864,-0.0322828780914846,0,0,2020-12-02 17:40:05.627,9679.894798,2.22678,58.789677,
1,1,-0.0013431720367035327,-0.0322828780914846,0,0,2020-12-02 17:40:10.028,9668.529635,2.904693,59.151938,
1,1,-0.004032505464439007,-0.0322828780914846,0,0,2020-12-02 17:40:14.428,9652.520533,2.946068,59.528282,
1,1,-0.023580787496503164,-0.0322828780914846,0,0,2020-12-02 17:40:18.823,9622.693626,3.133847,59.911152,
1,1,-0.008989694989652186,-0.0322828780914846,0,0,2020-12-02 17:40:23.223,9691.196347,2.828308,60.316258,
1,1,-0.011589611299436364,-0.0322828780914846,0,0,2020-12-02 17:40:27.623,9640.626718,2.996991,60.734746,
1,1,-0.015887128293322283,-0.0322828780914846,0,0,2020-12-02 17:40:32.111,9650.009254,3.003356,61.094291,
1,1,-0.03596863157280661,-0.0322828780914846,1,0,2020-12-02 17:40:36.428,9640.949512,1.956251,61.360543,
1,1,0.009177475528293899,-0.0322828780914846,0,0,2020-12-02 17:40:40.823,9581.089566,2.694636,61.612216,
1,1,0.009764045633917806,-0.0322828780914846,0,0,2020-12-02 17:40:45.222,9589.838557,2.716914,61.951325,
1,1,0.002015529308845243,-0.0322828780914846,0,0,2020-12-02 17:40:49.699,9532.387215,2.694636,62.20935,
1,1,0.0010677220422643519,-0.0322828780914846,0,0,2020-12-02 17:40:54.242,9601.552909,2.691453,62.464064,
1,1,-0.005698733610344786,-0.0322828780914846,0,0,2020-12-02 17:40:58.626,9581.518919,2.662809,62.753302,
1,1,-0.032340151835826725,-0.0322828780914846,1,0,2020-12-02 17:41:03.025,9533.770124,2.131299,63.019094,
1,1,-0.003282148528286122,-0.0322828780914846,0,0,2020-12-02 17:41:07.423,9482.741703,2.713732,63.20823,
1,1,0.0032663354388653976,-0.0322828780914846,0,0,2020-12-02 17:41:11.833,9502.424857,2.615068,63.454016,
1,1,-0.00492741099215499,-0.0322828780914846,0,0,2020-12-02 17:41:16.283,9485.035664,2.529136,63.737352,
1,1,-0.03617508077160381,-0.0322828780914846,1,0,2020-12-02 17:41:20.631,9476.127994,3.092472,63.987494,
1,1,-0.02036958904517172,-0.0322828780914846,0,0,2020-12-02 17:41:25.022,9464.489632,2.799664,64.263522,
1,1,-0.02842470872741143,-0.0322828780914846,0,0,2020-12-02 17:41:29.423,9461.584296,3.028818,64.513432,
1,1,-0.04993996411745094,-0.0322828780914846,1,0,2020-12-02 17:41:33.825,9442.248605,1.870319,64.714737,
1,1,-0.004694293906673863,-0.0322828780914846,0,0,2020-12-02 17:41:38.225,9424.250301,2.790116,64.907049,
1,1,0.0032674289877880347,-0.0322828780914846,0,0,2020-12-02 17:41:42.628,9412.978989,2.414559,65.155838,
1,1,0.004256502798457407,-0.0322828780914846,0,0,2020-12-02 17:41:47.027,9361.005125,2.742376,65.394579,
